#QM Initial Optimized Reoptimized Retrained Bonded_term Compound
-0.868775125 -1.18029503 -1.50215178 -1.50215178 -1.47334559 I_C18_C5_N19_H30 ZINC000000036303
3.52823742 -0.986998773 0.547893339 0.547893339 0.581556417 I_C5_N12_N6_S4 ZINC000000088101
46.4093223 21.8623786 45.5707513 45.5707513 45.073001 I_N1_H19_H18_N2 ZINC000000127402
3.96480963 -3.36183381 -0.229620291 -0.806060954 -1.1355766 I_C14_N16_N15_S13 ZINC000000152023_1
-0.285600055 -2.56905733 0.961448033 0.985613501 0.98536569 I_C9_C01_N8_O16 ZINC000000155839_1
0.308486085 0.314600569 1.14440432 1.20832909 1.24298736 I_C8_C7_N10_O9 ZINC000000225683_1
-6.726725763E-03 -1.13019239 -1.247669139E-02 3.399205501E-03 1.856835008E-05 I_C7_N8_N6_S11 ZINC000000273273
0.205211686 0.772409397 0.243728352 0.243728352 0.245655424 I_C14_C2_C13_O15 ZINC000000294631_1
-0.378761018 2.09738067 1.31852299 1.31852299 1.31899964 I_C4_N3_N6_S5 ZINC000000324748_1
1.37496928 0.365739086 0.624518237 0.624518237 0.71872578 I_C11_C13_N10_N12 ZINC000000331270
0.316222114 -1.10990574E-05 1.707547293E-06 1.707547293E-06 4.904556197E-06 I_C9_C4_C8_S10 ZINC000000334995
-0.271438175 0.360229077 1.19191681 1.19191681 1.21516229 I_C2_N3_O18_S1 ZINC000000338265
-2.732311044E-02 -8.743093357E-02 -1.33576893 -1.49225182 -1.47828714 I_C4_N5_N12_N3 ZINC000000394716
0.543510944 -3.25767839 0.205337329 0.205337329 0.209741307 I_C2_C3_C1_N10 ZINC000000409840_1
1.81018753 2.58704385 0.198944587 0.198944587 0.209175766 I_C13_N2_S14_S12 ZINC000000410229_1
2.3633814 4.170111774E-02 -0.483538872 -0.560401046 -0.599975023 I_C10_N9_N2_N11 ZINC000000444816
-0.374750068 -0 2.93897635 2.93897635 2.86545125 I_C2_C1_N3_H16 ZINC000000518699
-0.84155534 0.631020737 -1.24159204 -1.24159204 -1.25034534 I_C10_C11_C17_N9 ZINC000000982186
-0.294416688 -0.59894224 -0.380816409 -0.380816409 -0.383504652 I_C6_N8_S7_S5 ZINC000001072812
4.953655831E-02 2.561320939E-06 -8.148847923E-04 3.301445624E-02 4.104041389E-02 I_C8_N7_N10_O9 ZINC000001105356
3.178190907E-02 1.0265907 1.003420157E-03 1.003420157E-03 1.569124243E-03 I_C5_N4_N6_S7 ZINC000001390403
-1.36578039 -6.383287359E-03 -0.144004064 -0.144004064 -0.170898574 I_C4_C16_N3_N5 ZINC000001393937
7.309386488E-02 0 -2.831646841E-06 -2.831646841E-06 1.049134621E-05 I_C2_C13_C3_O1 ZINC000001420785
2.67211872 2.43865767 3.44497127 3.44497127 3.40655159 I_C11_C13_C6_O12 ZINC000001571661
-3.21542568 -0.258795581 -5.69423458 -5.69423458 -5.7177397 I_C4_C5_N3_N12 ZINC000001606193
-0.281449088 -0.64644723 0.203765375 0.203765375 0.226125292 I_C5_N6_N11_C4 ZINC000001606193
-1.22313233 -6.20711217 -3.96538662 -16.4237115 -16.3292163 I_C4_C3_N6_O5 ZINC000001683174
1.29472447 -12.157401 -2.82880827 -14.3521183 -14.4189636 I_C7_N6_N9_N8 ZINC000001683174
0.645281249 1.13340841 3.72735501 3.72735501 3.78311147 I_C7_C6_S8_S9 ZINC000001744207_1
-0.13046312 0.461181266 1.27596623 1.27596623 1.35427454 I_C7_C6_S8_S9 ZINC000001744207
7.705855376E-02 4.708494011E-02 1.128243214E-02 1.128243214E-02 6.647709144E-03 I_C2_C13_N3_O1 ZINC000001752440
0.386464782 6.965576486E-03 0.399990883 0.399990883 0.385930094 I_C13_C2_O14_O12 ZINC000001752440
0.594901982 0.822707652 3.13665518 3.13665518 3.13256299 I_C2_C6_C3_O1 ZINC000002037527_1
0.956945281 9.398944676E-02 -0.393656215 -0.393656215 -0.394689991 I_C2_N3_N18_O1 ZINC000002292870n_1
-0.894957078 -0.209504977 -1.48821737 -1.48821737 -1.5013243 I_C4_C6_N3_O5 ZINC000002292870n_1
0.302190847 10.526982 0.904014225 0.904014225 0.880131285 I_C7_N6_N5_S8 ZINC000002488985_1
0.777242143 0.560200675 -1.90625465 -1.90625465 -1.89702961 I_C4_C3_N9_N5 ZINC000002488985
-0.800074124 -10.8368529 -0.554498537 -0.554498537 -0.54520485 I_C7_N5_N6_S8 ZINC000002488985
-0.21919464 -0.83159442 2.09765814 2.09765814 2.14407788 I_C9_C11_C8_O10 ZINC000002577992
-0.185824746 -0.618197609 -0.405976349 -0.405976349 -0.412697586 I_C11_C9_C2_O12 ZINC000002577992
-1.46466193 -1.04289516 5.01258137 5.01258137 4.94952398 I_C7_C6_C9_O8 ZINC000002583571
-0.299518567 1.478779333E-06 0.720639898 0.720639898 0.722417724 I_C2_C3_O1_O12 ZINC000002774749_1
0 0 2.414836539E-06 2.414836539E-06 -8.537736463E-07 I_C2_C3_O1_S12 ZINC000002895850_1
-0.183093425 2.33093738 0.547628261 0.547628261 0.499675649 I_C18_N16_N19_H34 ZINC000003165873
-3.365493136E-02 1.20741827E-06 4.436338E-06 4.436338E-06 -2.091309789E-06 I_C6_N5_O7_H20 ZINC000003847683
-1.62733989 1.67957046E-05 -8.537736463E-07 2.091309789E-06 4.829673079E-06 I_C2_N3_N1_O17 ZINC000003850821_1
-4.51614429 1.32720666 2.20386201 -0.154676175 -0.131609755 I_C2_N1_N15_S3 ZINC000003993826
-9.01560123E-02 1.07501683 4.301460761E-02 4.301460761E-02 7.959167258E-02 I_C2_N12_O1_S3 ZINC000004091655_1
0.229361373 0.130835233 -0.244705332 -0.244705332 -0.204443192 I_C10_C11_N8_H23 ZINC000004101141_2
0.235790537 -4.169066385E-02 0.708808461 0.708808461 0.709486027 I_C5_C7_O6_S4 ZINC000004419542_1
1.17627746 -1.21407313 -0.507585041 -0.507585041 -0.488549984 I_C3_N2_N5_S4 ZINC000004708120_1
0 6.854501191E-02 -3.150466331E-02 -3.150466331E-02 -3.192518627E-02 I_C2_C11_N1_O3 ZINC000004831127_1
0.152372745 9.385631142E-02 0.255037944 0.255037944 0.268238774 I_C2_C4_O3_O1 ZINC000005004779n
-0.125919563 -1.67495697 -0.666526946 -0.666526946 -0.662658372 I_C5_N11_N6_S4 ZINC000005375234
-2.13246526 -0.218388844 0.168698199 0.168698199 0.170759614 I_C7_C6_N8_H21 ZINC000005495750
7.878685606E-02 1.82821502 2.91220173 2.91220173 2.95194602 I_C2_O1_O3_C4 ZINC000005566939
0 -8.99506352E-06 2.600858549E-05 2.600858549E-05 -1.53916233E-05 I_C4_C3_C01_N11 ZINC000005647151_1
1.87323566 -6.547634015E-03 2.034518069E-02 2.034518069E-02 2.528205566E-02 I_C4_C5_N2_H19 ZINC000005684049
0.470805812 0.54879879 1.13792776 1.13792776 1.14696408 I_C5_C12_C01_N4 ZINC000005773132_1
-2.06388979 -1.78577973 -2.20500208 -2.20500208 -2.19961521 I_C4_C17_C5_N3 ZINC000005939868
1.12865954 0.473854229 0.988248106 0.988248106 0.968758085 I_C10_N12_N11_C9 ZINC000006420595
6.062660595E-02 -0.214238294 2.495220641E-02 2.495220641E-02 -1.369013602E-02 I_C2_C12_O1_O3 ZINC000006566832_2
-0.210779513 0.375418758 -0.814338706 -0.814338706 -0.773367061 I_C6_C7_N5_N11 ZINC000006672310
0.239129712 -2.29974199 -2.48636186 -2.48636186 -2.48176058 I_C9_C2_N8_H21 ZINC000006755487n
1.18535299 2.19123065 -0.537590222 -0.537590222 -0.718243147 I_C2_N1_N3_N6 ZINC000008652230
1.58585084 4.07339712 -29.8168812 -29.8168812 -29.8197479 I_C9_C10_C8_O13 ZINC000011567736
-0.296505304 -0.413063378 -0.20690144 -0.20690144 -0.208866851 I_C10_C12_O9_S11 ZINC000011867375
0.867496168 -0.293047075 0.101829102 0.101829102 6.963832231E-02 I_C13_C3_C12_O14 ZINC000013209422
-1.75163737 -1.45402204 -1.89668896 -1.89668896 -1.8606528 I_C2_C15_N3_S1 ZINC000013573731
-1.61234516 -1.29059673 -2.16696259 -2.16696259 -2.21519634 I_C3_N4_N15_O2 ZINC000015444386
-1.65957931 2.11980206 0.661542289 -1.91992994 -1.9203217 I_C2_C8_N3_S1 ZINC000016546088
-0.247406855 -4.18191414 -0.242304968 0.299997984 0.301676871 I_C7_C8_C5_N12 ZINC000016546088
0 -25.3921691 -8.537736463E-07 -8.537736463E-07 -6.037091349E-06 I_C10_N11_N12_N9 ZINC000016941977
5.57085896 1.19560626 5.40130903 5.40130903 5.48938093 I_C4_C5_S2_H20 ZINC000016954046_1
1.16779359 1.17531065 1.50052074 1.50052074 1.46769448 I_C5_C4_C7_O6 ZINC000016954046_1
-1.019770329E-02 0.213507458 -2.35972903 -2.43888316 -2.35632783 I_C9_N8_N10_H23 ZINC000017025509
2.2366718 -4.55835841 3.20734267 3.20734267 3.20882982 I_C2_N3_N13_C1 ZINC000018069273
3.26409965 -0.98516966 0.992464425 0.992464425 1.09737452 I_C7_C12_C8_S4 ZINC000018069273
-1.09485997 0.719402322 -1.60296462 -1.60296462 -1.60338868 I_C2_C16_C1_N3 ZINC000019831265_1
-0.347639774 -2.55659515 -0.24213292 -0.24213292 -0.133868139 I_C4_N1_N16_C5 ZINC000019909419
-0.769479695 -2.78459896 -0.451327966 -0.451327966 -0.414136606 I_C6_C5_C7_N13 ZINC000019909419
-0.574902466 0.470001048 0.628548327 0.628548327 0.62689045 I_C4_N1_N9_S5 ZINC000020160617_1
4.517981264E-02 -8.537736463E-07 8.537736463E-07 8.537736463E-07 0 I_C2_N3_N6_S1 ZINC000020581282_1
0.597195976 -0.435534733 -0.728466476 -0.728466476 -0.765236275 I_C9_C7_C15_N10 ZINC000022115648n
2.233194 -0.900665865 2.14854042 2.14854042 2.14646246 I_C11_C10_N_H8 ZINC000034183726
-1.58773728 11.5072414 1.18120639 0.77815406 0.861714833 I_C5_N6_N7_N4 ZINC000034380901
0 1.707547293E-06 2.258872744E-06 2.258872744E-06 8.537736463E-07 I_C4_C12_N2_N5 ZINC000039262016
0.109777042 -0.918223265 1.02614957 1.02614957 1.04168502 I_C2_N3_O1_O14 ZINC000040380563_1
-1.15803286 -0.675533705 -0.351585409 1.64351675 1.60435614 I_C3_C21_N4_O2 ZINC000043761817
-0.634098534 1.12935827 5.045831 5.045831 5.04919237 I_C2_C7_C3_O1 ZINC000044082668
