#E_RMSD:ini opt rep pre zincID
4.19 4.19 4.19 4.19 ZINC000000033978
0.58 1.54 1.54 0.95 ZINC000000036303
0.02 0.07 0.07 0.07 ZINC000000040719
1.75856 1.78325 1.78325 1.75079 ZINC000000042736
0.1 0 0 0 ZINC000000051544
2.77251 3.12118 3.12118 2.98924 ZINC000000084284
1.12712 1.61881 1.61881 1.62326 ZINC000000087135n
3.56524 0.57208 0.57208 0.551838 ZINC000000088101
4.16434 1.62221 1.62221 1.61201 ZINC000000088474_1
4.13853 1.31178 1.31178 1.30691 ZINC000000097479
5.37007 2.71948 2.71948 2.78518 ZINC000000119009
0.0141421 0 0 0 ZINC000000126038
7.53 0.18 0.18 0.18 ZINC000000127402
3.07502 2.3614 2.3614 2.50262 ZINC000000135843
0.01 0.01 0.01 0.01 ZINC000000140092_1
1.21886 1.3226 1.3226 1.39885 ZINC000000144678
0.27 0.1 0.1 0.11 ZINC000000144678_2
0 0 0 0 ZINC000000145322
3.85188 2.10505 2.10505 1.98778 ZINC000000151361
0 0 0 0 ZINC000000152023_1
0.6 0 0.44 0.42 ZINC000000155839_1
1.77394 0.881093 0.881093 0.875414 ZINC000000159804
0.0636396 0 0 0.00707107 ZINC000000160394
3.37356 2.83913 2.83913 4.04777 ZINC000000162425
0 0 0 0 ZINC000000172719_2
2.07081 0.571795 0.571795 0.59279 ZINC000000192086
0 0 0 0 ZINC000000207445
0.16 0.16 0.16 0.16 ZINC000000209743_1
0 0 0 0 ZINC000000225683_1
2.58 4.19 4.19 4.19 ZINC000000238008
6.84616 4.97528 4.97528 4.9188 ZINC000000273304_1
5.77 4.42 4.42 4.95 ZINC000000273813
1.51 0.47 0.47 0.48 ZINC000000294631_1
1.64 1.84 1.84 1.91 ZINC000000324748_1
1.67 1.67 1.67 1.57 ZINC000000331270
0.335932 0.203961 0.203961 0.200125 ZINC000000331970
0.14 0 0 0.03 ZINC000000334995
0.318198 0 0.0212132 0.0282843 ZINC000000335016
0.806821 0.902244 0.902244 0.910505 ZINC000000336240
3.53394 3.24739 3.24739 3.25926 ZINC000000338265
3.36 3.29 3.08 3.09 ZINC000000339586
0.98 0.25 0.25 0.27 ZINC000000342360_1
5.61928 1.22556 1.22556 1.03601 ZINC000000343825
6.58866 1.97605 1.97605 1.99249 ZINC000000349518_1
2.09662 2.32609 2.32609 2.32472 ZINC000000366208_1
1.73243 0.155563 0.155563 0.148492 ZINC000000383392_1
