#E_RMSD:ini opt reo ret zincID
4.19 4.19 4.19 4.19 ZINC000000033978
0.4 0.84 0.84 0.18 ZINC000000036303
0 0 0 0 ZINC000000040719
1.9405 1.99085 1.99085 1.99541 ZINC000000042736
0 0 0 0 ZINC000000051544
2.79265 3.31578 3.31578 3.22183 ZINC000000084284
0.654752 0.941807 0.941807 0.944122 ZINC000000087135n
1.45738 2.34263 2.34263 2.45875 ZINC000000088101
3.76197 3.07075 3.07075 3.04209 ZINC000000088474_1
2.94999 1.60668 1.60668 1.77403 ZINC000000097479
1.78608 2.74235 2.74235 2.81167 ZINC000000119009
0 0 0 0 ZINC000000126038
5.35 0.18 0.18 0.18 ZINC000000127402
2.68233 3.06316 3.06316 3.09568 ZINC000000135843
0.01 0.01 0.01 0.01 ZINC000000140092_1
2.02493 0.910582 0.910582 0.717886 ZINC000000144678
0.12 0.27 0.27 0.27 ZINC000000144678_2
0 0 0 0 ZINC000000145322
3.49669 6.31494 6.31494 6.31494 ZINC000000151361
0 0 0 0 ZINC000000152023_1
3.7 0.05 0.47 0.44 ZINC000000155839_1
1.68755 1.88208 1.88208 1.87005 ZINC000000159804
0.0141421 0.0141421 0.0141421 0.0141421 ZINC000000160394
9.73324 2.84325 2.84325 4.08208 ZINC000000162425
0 0 0 0 ZINC000000172719_2
1.94404 0.569364 0.569364 0.535724 ZINC000000192086
0 0 0 0 ZINC000000207445
0.12 0.16 0.16 0.15 ZINC000000209743_1
0 0 0 0 ZINC000000225683_1
2 4.19 4.19 4.19 ZINC000000238008
5.89008 4.52273 4.52273 4.44071 ZINC000000273304_1
4.88 3.64 3.64 4.12 ZINC000000273813
1.35 0.26 0.26 0.27 ZINC000000294631_1
1.8 2.06 2.06 2.08 ZINC000000324748_1
1.67 1.67 1.67 1.67 ZINC000000331270
0.169706 0.207966 0.207966 0.203961 ZINC000000331970
0 0 0 0 ZINC000000334995
0 0 0 0 ZINC000000335016
0.719799 0.810349 0.810349 0.824245 ZINC000000336240
2.29555 3.08851 3.08851 2.40179 ZINC000000338265
0.35 0.35 0.35 0.35 ZINC000000339586
0.98 0.22 0.22 0.24 ZINC000000342360_1
3.18527 0.96462 0.96462 1.01702 ZINC000000343825
5.408 0.966678 0.966678 0.959418 ZINC000000349518_1
2.17671 2.27189 2.27189 2.25953 ZINC000000366208_1
1.18087 0.311127 0.311127 0.304056 ZINC000000383392_1
0.381051 0.196299 0.196299 0.178979 ZINC000000384763
2.62 2.01 2.01 2.03 ZINC000000392812
2.56249 1.98618 1.98618 1.96519 ZINC000000392829
4.74 1.22 0.16 0.12 ZINC000000394029
4.92 4.92 4.92 4.92 ZINC000000394716
2.36 2.36 0.6 0.65 ZINC000000401198
0.0989949 0.0848528 0.0848528 0.0919239 ZINC000000402296
1.04 0.16 0.16 0.25 ZINC000000403261
0.187794 0.00816497 0.00816497 0.0163299 ZINC000000405046
2.09992 1.02388 1.02388 1.05895 ZINC000000410229_1
2.59546 2.16032 2.17376 2.27021 ZINC000000444816
0.956579 0.503949 0.503949 0.491623 ZINC000000496310
3.10375 1.55716 3.12721 3.44923 ZINC000000499672
0.39 2.3 2.3 2.3 ZINC000000507755_1
0.565685 0.565685 0.565685 0.565685 ZINC000000510399_1
2.05933 2.19583 2.19583 2.18816 ZINC000000517428
4.06532 2.47503 2.47503 2.46368 ZINC000000517428n
1.38 0.14 0.14 0.33 ZINC000000518699
0.63 0.66 0.66 0.68 ZINC000000521962_2
0.250599 0.50324 0.50324 0.305041 ZINC000000900552
1.68216 0.450821 0.450821 1.05993 ZINC000000901957
0 0 0 0 ZINC000000980164
1.28 1.28 1.28 1.28 ZINC000001016430
1.54927 1.23885 1.23885 1.24573 ZINC000001043940
0.96 0.38 0.38 0.45 ZINC000001066646n
0.0989949 0.0989949 0.0989949 0.0989949 ZINC000001123028
0 0 0 0 ZINC000001233327
0.68 0.65 0.65 0.65 ZINC000001241237_1
1.46065 1.16696 1.16696 1.169 ZINC000001297821
3.12499 2.91141 2.91141 2.68617 ZINC000001321342n
1.43722 0.957698 0.957698 1.04192 ZINC000001393062
0 0 0 0 ZINC000001393937
1.53114 1.6772 1.6772 1.77771 ZINC000001396946_1
0 0 0 0 ZINC000001400343n_1
2.24609 0.702593 0.702593 0.622866 ZINC000001400675
0.882043 1.46813 1.46813 1.58474 ZINC000001407196
2.17706 1.79704 1.79704 1.86216 ZINC000001410179
1.37674 4.3401 4.3401 3.82223 ZINC000001420704n
2.39 0.03 0.03 0.11 ZINC000001425612_1
0 0 0 0 ZINC000001438993
1.97668 0.161555 0.161555 0.145602 ZINC000001443681_2
1.24 0.34 0.34 0.41 ZINC000001463335
0.325269 0.408718 0.810586 0.765506 ZINC000001484979
0 0 0 0 ZINC000001564374_1
2.7603 1.24472 1.24472 0.975881 ZINC000001566068
2.9116 1.06735 1.06735 1.03215 ZINC000001571661
4.84934 4.60049 4.60049 4.73528 ZINC000001583786n
1.69985 0.848469 0.848469 0.904305 ZINC000001603989
1.8657 0.463753 0.463753 0.440984 ZINC000001606193
1.23731 0.447996 0.447996 0.451525 ZINC000001611078_1
2.14169 0.612413 0.612413 0.612413 ZINC000001617863
0 0 0 0 ZINC000001620111
0.87 0.87 0.87 0.87 ZINC000001625438
0.4 0.4 0.4 0.4 ZINC000001661342
0.9 0.09 0.09 0.26 ZINC000001661342n
0 0 0 0 ZINC000001668602_1
3.02619 3.02619 3.02619 3.02619 ZINC000001668835
3.18495 3.18495 3.18495 3.18495 ZINC000001669442
3 3 3 3 ZINC000001676870n
1.3416 1.77582 1.77582 1.79496 ZINC000001677949
3.61683 2.56315 2.56315 2.607 ZINC000001677981_1
2.66519 2.56236 2.56236 2.61841 ZINC000001681766_1
0.169779 0.277939 0.172482 0.2136 ZINC000001692414
2.53041 2.70048 2.70048 2.58128 ZINC000001696994
0 0 0 0 ZINC000001697961_1
0 0 0 0 ZINC000001705340
0 0 0 0 ZINC000001707121
1.75 4.12 4.12 4.12 ZINC000001721075_1
