#RMSD_ini RMSD_opt RMSD_reo RMSD_ret conf_ID zincID
0.105043541 9.062094639E-02 9.062094639E-02 9.306476602E-02 1 230002
0.105043541 9.062094639E-02 9.062094639E-02 9.306476602E-02 2 230002
0.145534824 0.1578328 0.1578328 0.152290011 1 230003
8.237657693E-02 9.942797725E-02 9.942797725E-02 0.100171832 1 230004
0.110064249 0.102582856 0.102582856 0.102154597 1 230005
0.101453116 9.68073226E-02 9.68073226E-02 9.686131349E-02 2 230005
8.436493007E-02 8.104113997E-02 8.104113997E-02 8.239517891E-02 3 230005
0.112217597 0.103077523 0.103077523 0.104082559 4 230005
0.149125647 0.149850476 0.149850476 0.139847126 1 230006
0.123370458 0.160107597 0.160107597 0.159534159 1 230008
5.438052668E-02 5.475365184E-02 5.475365184E-02 5.403589242E-02 2 230008
7.360631985E-02 6.036895579E-02 6.036895579E-02 5.980136631E-02 3 230008
8.932185997E-02 9.648379974E-02 9.648379974E-02 9.430292316E-02 4 230008
5.767809697E-02 9.990751288E-02 9.990751288E-02 0.106621064 5 230008
0.241277757 0.286646246 0.286646246 0.264339929 6 230008
0.16069421 0.11554364 0.11554364 0.113074476 7 230008
6.596391228E-02 6.741484524E-02 6.741484524E-02 6.842891367E-02 1 230009
9.009948877E-02 8.122432218E-02 8.122432218E-02 8.007325663E-02 2 230009
7.939662408E-02 7.146250697E-02 7.146250697E-02 7.062832047E-02 3 230009
0.112278106 8.085300096E-02 8.085300096E-02 8.103547458E-02 1 23000A
0.117503984 6.711735505E-02 6.711735505E-02 6.645678157E-02 2 23000A
9.999892319E-02 8.9706926E-02 8.9706926E-02 8.868903553E-02 3 23000A
9.04313533E-02 8.243901599E-02 8.243901599E-02 8.132509806E-02 4 23000A
5.44090413E-02 7.745554005E-02 7.745554005E-02 7.718624479E-02 1 23000B
5.497019369E-02 7.400772983E-02 7.400772983E-02 7.37526473E-02 2 23000B
6.070905559E-02 8.211035154E-02 8.211035154E-02 8.197052845E-02 3 23000B
5.482403818E-02 0.111596202 0.111596202 0.110567317 4 23000B
5.684713914E-02 0.116271232 0.116271232 0.115252245 5 23000B
6.386016518E-02 8.203696335E-02 8.203696335E-02 8.200946483E-02 6 23000B
6.100882349E-02 0.109449594 0.109449594 0.108530587 7 23000B
6.385215051E-02 8.536178184E-02 8.536178184E-02 8.524212837E-02 8 23000B
5.09830222E-02 0.107669355 0.107669355 0.106219938 9 23000B
6.400903743E-02 9.984538746E-02 9.984538746E-02 9.868324549E-02 10 23000B
6.424842485E-02 0.102242493 0.102242493 0.101041675 11 23000B
6.385215051E-02 8.536178184E-02 8.536178184E-02 8.524212837E-02 12 23000B
5.09830222E-02 0.107669355 0.107669355 0.106219938 13 23000B
6.400903743E-02 9.984538746E-02 9.984538746E-02 9.868324549E-02 14 23000B
6.424842485E-02 0.102242493 0.102242493 0.101041675 15 23000B
0.214267351 0.123139243 0.123139243 0.123906254 1 23000C
0.184534317 9.508531031E-02 9.508531031E-02 9.686849762E-02 2 23000C
0.264769217 0.119067285 0.119067285 0.120697707 3 23000C
0.210265574 6.971678337E-02 6.971678337E-02 6.952207333E-02 4 23000C
0.243839812 0.145437642 0.145437642 0.145203628 5 23000C
0.21842279 7.931005346E-02 7.931005346E-02 7.945324953E-02 6 23000C
0.202085478 0.166158726 0.166158726 0.168182217 7 23000C
0.201387818 0.145606449 0.145606449 0.144497041 8 23000C
0.124922835 0.111453219 0.111453219 0.111017162 1 23000D
9.738675446E-02 0.106540172 0.106540172 0.105884801 2 23000D
0.103655801 0.104734208 0.104734208 0.104061394 3 23000D
7.491285287E-02 9.478893679E-02 9.478893679E-02 9.435551321E-02 4 23000D
