#RMSD_ini RMSD_opt RMSD_reo RMSD_ret conformation_ID zincID
0.151430092 0.657735081 0.657735081 0.650185919 1 230002
0.151430092 0.657735081 0.657735081 0.650185919 2 230002
0.221440785 0.621526571 0.621526571 0.634430322 1 230003
0.11147259 0.136646691 0.136646691 0.134837601 1 230004
0.116430171 0.106486055 0.106486055 0.105840532 1 230005
0.105783828 9.841007437E-02 9.841007437E-02 9.898695363E-02 2 230005
0.127590958 0.131365355 0.131365355 0.135730993 3 230005
0.147237065 0.13689606 0.13689606 0.138126261 4 230005
0.184410043 0.154813039 0.154813039 0.147004614 1 230006
0.145629936 0.169881497 0.169881497 0.168702519 1 230008
0.139009861 0.152299089 0.152299089 0.135020845 2 230008
0.243667579 0.211152459 0.211152459 0.208631639 3 230008
0.196600332 0.186786756 0.186786756 0.182914935 4 230008
0.200253695 0.136872907 0.136872907 0.129373276 5 230008
0.613196245 0.639310539 0.639310539 0.607164724 6 230008
0.420625809 0.385267017 0.385267017 0.377182436 7 230008
0.168436244 0.107142131 0.107142131 0.118766783 1 230009
0.163412886 0.162901643 0.162901643 0.16268796 2 230009
0.148347663 0.150022804 0.150022804 0.15153979 3 230009
0.40028458 0.122308556 0.122308556 0.122190232 1 23000A
0.241612641 9.419329391E-02 9.419329391E-02 9.690883254E-02 2 23000A
0.670836316 0.493167232 0.493167232 0.494314574 3 23000A
0.944833864 0.392225297 0.392225297 0.391235995 4 23000A
9.722081109E-02 9.477922738E-02 9.477922738E-02 9.444915163E-02 1 23000B
0.149795669 9.906969955E-02 9.906969955E-02 9.83095216E-02 2 23000B
0.206076209 0.10646513 0.10646513 0.107797757 3 23000B
0.17556594 0.125685932 0.125685932 0.124220548 4 23000B
0.234319067 0.1351253 0.1351253 0.13583185 5 23000B
0.285457015 0.157027858 0.157027858 0.151252412 6 23000B
0.233193881 0.157041936 0.157041936 0.154090915 7 23000B
0.868004758 0.171127445 0.171127445 0.422034066 8 23000B
0.462853586 0.465381316 0.465381316 0.467143072 9 23000B
0.130048874 0.283805334 0.283805334 0.283095008 10 23000B
0.108734732 0.24805967 0.24805967 0.247600906 11 23000B
0.868004758 0.171127445 0.171127445 0.422034066 12 23000B
0.462853586 0.465381316 0.465381316 0.467143072 13 23000B
0.130048874 0.283805334 0.283805334 0.283095008 14 23000B
0.108734732 0.24805967 0.24805967 0.247600906 15 23000B
0.687616043 0.136554323 0.136554323 0.137333865 1 23000C
0.334483195 0.615760996 0.615760996 0.628445884 2 23000C
0.364202544 0.569044272 0.569044272 0.57832461 3 23000C
0.696243811 0.319524838 0.319524838 0.315447039 4 23000C
0.727245434 0.546920049 0.546920049 0.551076433 5 23000C
0.3249187 0.373593421 0.373593421 0.371661703 6 23000C
0.287822482 0.243908564 0.243908564 0.64496476 7 23000C
0.318123508 0.598295028 0.598295028 0.602406546 8 23000C
0.280406594 0.133497622 0.133497622 0.13390757 1 23000D
0.926326751 0.376122313 0.376122313 0.375594231 2 23000D
0.925392369 0.37694535 0.37694535 0.376426314 3 23000D
0.156379785 0.146301549 0.146301549 0.144778301 4 23000D
0.156592961 0.146383115 0.146383115 0.144852359 5 23000D
0.15652608 0.146379429 0.146379429 0.144855106 6 23000D
1.1163317 0.200816437 0.200816437 0.199506613 7 23000D
1.11621674 0.200937322 0.200937322 0.199613755 8 23000D
1.11665108 0.201170548 0.201170548 0.199859656 9 23000D
0.196884593 0.113609744 0.113609744 0.113619531 10 23000D
0.385393327 0.282674787 0.282674787 0.282686883 11 23000D
0.263247154 0.289429858 0.289429858 0.289556154 12 23000D
1.05345111 0.839325457 0.839325457 0.840555748 13 23000D
0.367048689 0.313033928 0.313033928 0.313966363 14 23000D
8.300269223E-02 7.235080283E-02 7.235080283E-02 7.447766408E-02 1 23000E
8.27340946E-02 7.219693484E-02 7.219693484E-02 7.434564001E-02 2 23000E
0.512855341 0.199482802 0.199482802 0.194674177 1 23000F
0.134603211 0.438227958 0.438227958 0.454323652 1 23000G
0.188964169 0.671564606 0.671564606 0.680174929 2 23000G
