#Atom_RMSD:ini opt rep pre zincid
0.105044 0.0906209 0.0906209 0.0930648 ZINC000000033978
0.145535 0.157833 0.157833 0.15229 ZINC000000036303
0.0823766 0.099428 0.099428 0.100172 ZINC000000040719
0.102025 0.0958772 0.0958772 0.0963734 ZINC000000042736
0.149126 0.14985 0.14985 0.139847 ZINC000000051544
0.114333 0.12483 0.12483 0.121673 ZINC000000084284
0.0784867 0.0733672 0.0733672 0.0730435 ZINC000000087135n
0.105053 0.0800291 0.0800291 0.0793766 ZINC000000088101
0.0595209 0.096211 0.096211 0.0954429 ZINC000000088474_1
0.217447 0.11794 0.11794 0.118541 ZINC000000097479
0.123637 0.128066 0.128066 0.127667 ZINC000000119009
0.0791543 0.0744051 0.0744051 0.0763813 ZINC000000126038
0.279103 0.150556 0.150556 0.149203 ZINC000000127402
0.223982 0.293305 0.293305 0.290633 ZINC000000135843
0.0510015 0.057802 0.057802 0.0588024 ZINC000000140092_1
0.197261 0.168453 0.168453 0.166732 ZINC000000144678
0.139169 0.0607734 0.0607734 0.0624662 ZINC000000144678_2
0.282026 0.0599948 0.0599948 0.0623698 ZINC000000145322
0.0612966 0.0610258 0.0610258 0.0604358 ZINC000000151361
0.142603 0.148065 0.14431 0.144426 ZINC000000152023_1
0.0734638 0.0437809 0.0468375 0.0466819 ZINC000000155839_1
0.0539073 0.050804 0.050804 0.0509713 ZINC000000159804
0.0925439 0.0983555 0.0983555 0.0972754 ZINC000000160394
0.0471964 0.041512 0.041512 0.0407312 ZINC000000162425
0.0738271 0.0314011 0.0314011 0.0313955 ZINC000000172719_2
0.180455 0.0788737 0.0788737 0.0791183 ZINC000000192086
0.111352 0.0585337 0.0585337 0.0595329 ZINC000000207445
0.11348 0.0767956 0.0767956 0.0764115 ZINC000000209743_1
0.135584 0.0419716 0.0498829 0.0509827 ZINC000000225683_1
0.239783 0.320913 0.320913 0.317819 ZINC000000238008
0.0768319 0.121198 0.121198 0.120766 ZINC000000273304_1
0.128039 0.114515 0.114515 0.116439 ZINC000000273813
0.0959496 0.0316286 0.0316286 0.0315824 ZINC000000294631_1
0.207851 0.12867 0.12867 0.130487 ZINC000000324748_1
0.195873 0.0689384 0.0689384 0.0631874 ZINC000000331270
0.0873507 0.216449 0.216449 0.216262 ZINC000000331970
0.201072 0.165165 0.165165 0.165856 ZINC000000334995
0.130311 0.103351 0.149313 0.145325 ZINC000000335016
0.218121 0.123921 0.123921 0.118829 ZINC000000336240
0.0990203 0.0594512 0.0594512 0.0591314 ZINC000000338265
0.226187 0.0896054 0.096323 0.0967091 ZINC000000339586
0.136837 0.105184 0.105184 0.105613 ZINC000000342360_1
0.134253 0.103829 0.103829 0.107942 ZINC000000343825
0.0750416 0.0760058 0.0760058 0.0761086 ZINC000000349518_1
0.314055 0.1492 0.1492 0.148733 ZINC000000366208_1
0.126564 0.0848233 0.0848233 0.0845912 ZINC000000383392_1
0.078589 0.0511141 0.0511141 0.050444 ZINC000000384763
0.0850148 0.0805147 0.0805147 0.0811935 ZINC000000392812
0.163216 0.135044 0.135044 0.135 ZINC000000392829
0.0386921 0.0494502 0.0513676 0.0539863 ZINC000000394029
0.708043 0.605942 0.66489 0.635898 ZINC000000394716
0.150497 0.168469 0.151779 0.152194 ZINC000000401198
