#Atom_RMSD:ini opt reo ret zincid
0.15143 0.657735 0.657735 0.650186 230002
0.221441 0.621527 0.621527 0.63443 230003
0.111473 0.136647 0.136647 0.134838 230004
0.124261 0.118289 0.118289 0.119671 230005
0.18441 0.154813 0.154813 0.147005 230006
0.279855 0.268796 0.268796 0.258427 230008
0.160066 0.140022 0.140022 0.144332 230009
0.564392 0.275474 0.275474 0.276162 23000A
0.301394 0.21413 0.21413 0.247047 23000B
0.467582 0.42545 0.42545 0.478708 23000C
0.586918 0.269045 0.269045 0.268556 23000D
0.0828684 0.0722739 0.0722739 0.0744117 23000E
0.512855 0.199483 0.199483 0.194674 23000F
0.390891 0.552886 0.552886 0.557051 23000G
0.221015 0.260255 0.260255 0.279612 23000H
0.699786 0.328287 0.328287 0.325737 23000I
0.118318 0.511453 0.511453 0.503044 23000J
0.262087 0.0707438 0.0707438 0.0708263 23000K
0.0806309 0.999686 0.999686 0.998543 23000L
0.435928 0.417949 0.43698 0.436748 23000M
0.898846 0.0649217 0.0654393 0.0651895 23000O
0.298172 0.353851 0.353851 0.35418 23000Q
0.215464 0.179596 0.179596 0.181462 23000R
0.226708 0.0404774 0.0404774 0.0398946 23000S
0.253797 0.404868 0.404868 0.404851 23000T
0.197916 0.120586 0.120586 0.119737 23000U
0.169323 0.150801 0.150801 0.15108 23000X
0.275934 0.161948 0.161948 0.162403 23000Z
0.179653 0.112472 0.128149 0.128011 230010
0.731438 0.820672 0.820672 0.81708 230011
0.174393 0.302114 0.302114 0.301392 230013
0.184822 0.13572 0.13572 0.143273 230014
0.0967928 0.100233 0.100233 0.0997743 230016
0.214768 0.367326 0.367326 0.3788 230017
0.267797 0.0949814 0.0949814 0.0919317 230019
0.481177 0.11117 0.11117 0.110132 23001A
0.499349 0.486579 0.486579 0.486694 23001B
0.276578 0.128196 0.278726 0.277757 23001C
0.429805 0.28229 0.28229 0.27943 23001D
0.394587 0.161606 0.161606 0.21818 23001F
0.966387 1.35602 1.35398 1.35337 23001G
0.102325 0.112708 0.112708 0.112465 23001I
0.282165 0.147284 0.147284 0.148087 23001J
0.498168 0.683169 0.683169 0.649505 23001K
0.345262 0.344209 0.344209 0.343458 23001L
0.376823 0.157483 0.157483 0.157392 23001P
0.0788087 0.0860422 0.0860422 0.0855158 23001Q
0.263866 0.276418 0.276418 0.280476 23001R
0.691467 0.254827 0.254827 0.255887 23001S
0.0386695 0.0493188 0.0512681 0.053879 23001T
5.16426e-06 1.61008e-06 1.37251e-06 4.23941e-06 23001U
0.467418 0.369124 0.350064 0.338471 23001X
0.0419957 0.0509362 0.0509362 0.0517118 23001Z
0.259291 0.104742 0.104742 0.107346 230020
0.515705 0.286336 0.286336 0.284842 230021
0.499972 0.204544 0.204544 0.203855 230023
0.750977 0.30459 0.284576 0.287266 230024
0.200706 0.192958 0.192958 0.191819 230028
0.470005 0.226063 0.182732 0.184222 230029
0.304389 0.346845 0.346845 0.353709 23002B
0.381852 0.394795 0.394795 0.394482 23002C
0.254129 0.229608 0.229608 0.232111 23002D
0.112246 0.1852 0.1852 0.183977 23002E
0.0557311 0.148346 0.148346 0.140194 23002F
0.515014 0.166017 0.166017 0.165776 23002G
0.392009 0.107243 0.107243 0.112313 23002H
0.331504 0.171763 0.171763 0.196296 23002I
0.602121 0.148054 0.148054 0.148078 23002J
0.0824971 0.186974 0.186974 0.200277 23002M
0.0924735 0.145093 0.145093 0.144724 23002P
0.126619 0.0643362 0.0643362 0.0671585 23002Q
0.4806 0.197097 0.197097 0.196917 23002T
0.0984195 0.12227 0.12227 0.131712 23002U
0.0696853 0.0755495 0.0755495 0.074042 23002V
0.294876 0.237855 0.237855 0.237258 23002W
0.512108 0.39112 0.39112 0.38889 23002Z
0.212589 0.23638 0.23638 0.239403 230032
0.164398 0.146233 0.146233 0.145667 230033
0.349832 0.240176 0.240176 0.239703 230034
0.470381 0.413718 0.413718 0.413766 230035
0.328059 0.38338 0.38338 0.341577 230036
0.236619 0.21898 0.21898 0.220006 230037
0.202194 0.271521 0.271521 0.271583 230038
0.0700982 0.0517376 0.0517376 0.0518136 230039
0.620017 0.126594 0.126594 0.120572 23003B
0.168245 0.479573 0.479573 0.478231 23003D
