#compound Initial Optimized Reoptimized Retrained
230001 23.39 0.83 0.83 7.66
230005 180.0 8.62 8.62 0.0
230006 31.3 1.07 1.07 7.29
230007 0.53 0.12 0.12 0.53
230008 9.97 0.67 0.67 5.03
230009 34.6 0.26 0.26 3.61
23000A 78.4 0.34 0.34 5.1
23000C 26.22 2.89 2.89 6.36
23000D 98.84 0.09 0.09 0.57
23000E 35.41 2.65 2.65 7.6
23000F 89.03 0.04 0.04 45.3
23000G 180.0 0.06 0.06 0.0
23000J 30.1 3.83 3.83 21.36
23000I 46.34 15.57 15.57 39.77
23000K 91.32 0.23 0.23 11.2
23000L 64.5 2.55 2.55 12.31
23000M 31.79 4.4 1.44 1.4
23000O 63.6 1.63 0.0 3.48
23000Q 9.41 0.99 0.99 2.78
23000S 25.89 0.06 0.06 18.13
23000T 2.63 1.21 1.21 1.35
23000U 12.02 2.28 2.28 2.33
23000V 16.73 0.05 0.05 0.22
23000W 0.57 1.4 1.4 6.9
23000X 27.61 0.63 0.63 0.58
23000Y 49.85 0.45 0.45 8.49
23000Z 16.02 1.17 1.17 3.68
230011 48.42 1.82 1.82 20.43
230014 13.95 1.44 1.44 3.55
230016 10.8 4.71 4.71 4.54
230017 117.59 1.1 1.1 2.9
230018 72.78 1.94 1.94 37.21
23001E 23.47 5.08 5.08 6.55
23001F 85.37 0.84 0.84 3.14
23001G 3.44 0.03 0.03 0.73
23001H 9.11 0.4 0.4 1.21
23001I 12.88 1.15 1.15 1.11
23001J 30.21 0.79 0.79 23.84
23001K 64.61 0.62 0.62 2.2
23001L 68.24 0.4 0.4 5.46
23001N 52.31 0.04 0.04 1.52
23001O 13.75 2.8 2.8 13.7
23001P 26.51 4.31 4.31 7.23
23001Q 64.06 3.19 3.19 6.77
23001S 72.46 0.68 0.68 9.13
23001T 62.02 0.3 0.59 76.53
23001U 131.17 0.04 0.32 6.01
23001X 43.55 0.49 0.67 6.58
23001Y 88.5 0.46 0.46 5.39
23001Z 172.75 0.07 0.07 5.08
230021 10.0 0.65 0.65 3.08
230022 149.06 0.36 0.36 0.53
230023 10.45 0.8 0.8 0.93
230024 12.58 2.07 2.67 18.21
230025 180.0 0.79 0.79 0.0
230026 85.14 0.2 0.2 19.49
230027 7.58 1.99 1.99 5.07
23002A 11.16 0.28 0.33 40.27
230029 17.62 0.07 0.21 16.72
23002C 6.9 0.46 0.46 2.48
23002E 3.6 2.14 2.14 12.74
23002F 61.3 0.14 0.14 4.28
23002G 36.86 0.08 0.08 0.54
23002H 7.86 0.22 0.22 11.05
23002I 0.0 0.37 0.37 0.0
23002K 13.24 0.62 0.62 2.23
23002L 54.21 0.03 0.03 35.97
23002M 101.77 1.97 1.97 45.61
23002O 8.23 0.05 0.05 14.32
23002P 21.1 0.45 0.45 7.93
23002Q 162.36 0.09 0.09 30.7
23002R 103.34 1.76 1.76 1.64
23002T 91.07 0.19 0.19 3.98
23002U 11.79 0.75 0.75 8.46
23002V 8.74 1.06 1.06 2.1
23002W 38.81 0.11 0.11 1.25
23002X 1.74 0.58 0.58 1.47
23002Y 22.09 0.67 0.67 6.85
23002Z 20.34 1.09 1.09 28.5
230030 156.49 0.79 0.79 3.1
230031 33.51 0.91 0.91 1.5
230032 10.42 1.45 1.45 1.06
230033 52.95 1.75 1.75 6.26
230034 8.63 1.23 1.23 6.62
230035 73.58 0.25 0.25 0.61
230036 49.92 1.01 1.01 36.49
230037 105.64 2.49 2.49 9.46
230038 10.61 0.19 0.19 12.56
230039 85.21 2.76 2.76 13.74
23003A 31.67 0.1 0.1 28.24
23003B 178.86 0.7 0.7 0.49
23003G 60.02 0.1 0.1 16.49
23003I 34.86 0.89 1.45 1.65
23003H 24.51 0.73 1.51 2.29
23003K 148.04 4.22 4.22 4.05
23003L 5.45 1.61 1.38 1.8
23003N 19.58 1.98 0.4 28.64
23003O 13.26 3.44 3.44 4.46
23003P 7.37 0.82 0.41 5.76
23003Q 38.18 1.5 1.5 9.4
23003S 23.27 0.5 0.5 7.76
23003T 10.37 0.37 0.37 10.45
23003W 2.57 0.65 0.65 3.38
23003Y 41.2 2.1 2.1 4.17
230040 6.72 1.22 1.22 9.21
230042 40.48 1.81 1.81 4.39
230047 20.36 4.91 4.91 20.83
230048 16.34 0.3 0.3 2.18
230049 11.29 0.27 0.27 10.41
23004A 4.58 0.38 0.38 3.49
23004F 4.38 2.24 1.25 6.46
23004G 14.75 0.19 0.19 17.41
23004K 4.36 1.27 1.27 1.67
23004J 0.0 0.0 0.0 180.0
23004M 10.21 0.27 0.27 1.57
23004N 22.18 1.28 1.28 1.59
23004O 26.14 0.95 0.95 6.73
23004P 22.38 0.57 0.57 9.22
23004Q 5.06 2.2 2.2 2.21
23004R 5.64 2.51 2.51 2.33
23004S 101.67 2.37 2.37 20.79
23004U 162.16 7.42 7.42 27.58
23004V 5.25 3.43 3.43 14.12
23004W 1.14 1.16 1.16 1.36
23004Y 57.22 0.44 0.44 5.07
23004Z 44.55 0.85 0.85 1.72
230052 19.45 0.23 0.23 11.77
230054 1.46 1.93 1.93 2.39
230056 16.2 1.48 1.48 8.65
230057 11.81 1.13 1.13 5.38
230058 43.86 0.06 0.06 19.51
230059 179.98 0.16 0.16 0.0
23005A 20.02 0.25 0.25 6.85
23005B 11.86 0.44 0.44 0.29
23005D 62.76 4.71 4.71 4.72
23005F 85.05 0.76 0.76 5.28
23005E 81.11 3.34 3.34 7.85
23005G 43.64 0.43 0.43 4.53
23005I 179.93 0.1 0.1 0.0
23005H 15.62 0.31 0.31 2.15
23005J 15.27 1.45 1.45 11.94
23005N 15.11 0.07 0.07 10.91
23005O 41.01 0.39 0.84 36.15
23005Q 12.77 2.78 2.78 61.52
23005M 36.38 0.94 0.94 49.57
23005R 5.63 5.63 5.63 5.63
23005S 6.84 0.96 0.96 2.89
23005T 57.01 0.1 0.08 4.59
23005V 11.66 0.49 0.49 6.62
23005W 37.11 0.5 0.5 10.42
23005X 4.3 0.4 0.97 10.07
23005Y 7.57 0.17 0.17 1.59
230061 24.77 8.57 8.57 7.55
230064 17.63 1.21 1.21 1.36
230065 5.98 2.65 2.09 2.82
230066 1.67 0.44 0.44 2.24
230067 13.94 1.95 1.95 1.55
230068 5.11 0.03 0.03 2.66
23006A 9.73 1.1 1.91 1.57
23006C 77.59 1.61 1.61 8.43
23006E 0.0 0.0 0.0 180.0
23006F 12.83 1.21 0.27 64.65
23006G 7.75 1.72 1.72 1.56
23006I 2.82 0.02 0.16 10.42
23006K 19.87 0.89 0.89 72.31
23006N 43.38 4.01 4.01 4.38
23006M 42.21 0.28 0.28 9.26
23006O 24.19 1.71 1.71 9.83
23006P 9.08 0.81 0.81 2.98
23006T 35.8 0.4 0.4 4.39
23006U 132.02 0.28 0.28 47.23
23006V 13.3 1.0 1.0 8.13
23006W 20.67 0.76 0.76 2.16
23006X 78.85 4.03 4.03 14.58
23006Y 9.89 0.53 0.53 38.67
23006Z 18.26 0.57 0.57 10.91
230070 1.81 2.26 2.26 2.57
230071 23.05 3.38 1.9 1.45
230073 32.71 0.08 1.76 6.04
230074 50.62 0.09 0.09 2.88
230075 89.53 0.19 2.04 9.05
230076 79.84 0.13 0.13 17.65
230077 30.29 0.34 0.74 7.83
230078 50.12 0.33 0.33 132.59
23007A 10.44 0.34 0.34 0.65
23007B 25.35 0.82 0.82 3.24
23007C 21.24 0.96 0.96 8.21
23007D 56.84 0.37 0.37 20.16
23007E 3.8 0.09 0.09 1.22
23007G 74.21 8.52 8.52 29.47
23007I 10.52 1.06 1.06 1.0
23007J 11.74 1.08 1.08 4.74
23007H 5.24 0.4 0.35 49.06
23007L 6.46 2.32 1.16 1.96
23007O 12.25 0.19 0.19 7.63
23007P 3.96 3.76 3.76 4.23
23007R 10.74 2.12 2.12 8.17
23007S 6.52 2.17 2.17 2.11
23007U 6.69 0.92 0.92 1.33
23007W 57.27 1.14 1.14 8.66
23007V 2.1 0.6 0.6 0.8
23007X 14.73 0.77 0.77 2.4
23007Y 47.08 0.9 0.09 7.57
23007Z 23.42 1.5 1.5 1.44
230080 68.01 8.28 8.28 8.84
230081 13.16 0.9 0.9 0.83
230082 136.74 1.03 1.03 89.42
230084 18.08 1.26 1.26 5.46
230085 20.98 0.32 0.32 7.27
230086 9.5 0.71 0.71 7.36
230087 39.86 0.14 0.14 2.86
230088 7.6 0.27 0.27 11.61
230089 13.62 1.2 1.2 11.5
23008B 15.57 0.08 0.08 1.9
23008C 13.75 0.33 0.33 34.28
23008E 11.01 1.14 1.14 5.67
23008G 4.87 0.47 0.47 1.95
23008F 0.0 0.27 0.27 0.0
23008H 13.84 0.68 0.68 7.06
23008I 26.58 0.48 0.48 6.27
23008L 146.2 2.71 2.71 0.36
23008K 179.25 2.85 2.85 12.37
23008M 32.57 0.52 0.52 8.32
23008N 21.78 2.17 2.17 2.09
23008O 27.65 0.79 0.79 15.48
23008P 131.43 0.45 0.45 2.35
23008Q 43.36 0.74 0.74 5.18
23008R 9.22 1.47 1.47 4.18
23008S 94.91 0.22 0.33 22.57
23008T 53.97 0.35 0.35 44.68
23008U 2.54 0.55 0.55 3.9
23008V 5.21 0.23 0.23 1.88
23008X 8.4 0.56 0.56 1.94
23008Y 97.63 0.18 0.18 41.11
230091 3.49 0.61 0.61 1.82
230093 8.77 0.67 0.67 6.99
230094 12.39 0.4 0.4 17.77
230096 51.25 0.71 0.71 3.08
230097 91.0 3.26 3.26 2.79
230098 21.33 0.57 0.57 6.54
230099 57.03 0.7 0.7 11.25
23009A 17.0 3.83 3.83 17.85
23009C 28.04 1.57 1.57 12.23
23009E 42.63 0.27 0.27 43.11
23009F 29.9 0.4 0.4 1.08
23009I 46.93 0.31 0.31 22.93
23009J 16.0 0.72 0.72 8.15
23009K 74.15 0.08 0.08 13.81
23009L 30.16 1.0 1.0 8.63
23009O 53.95 8.24 8.24 9.61
23009N 65.47 6.92 6.92 12.54
23009Q 6.02 0.63 0.63 1.83
23009S 24.87 1.62 1.62 0.41
23009T 32.23 0.61 0.61 1.47
23009U 16.58 1.76 1.76 2.72
23009W 4.82 4.18 4.18 4.32
23009V 6.48 4.67 4.67 5.24
23009Y 67.23 0.55 0.55 4.61
2300A0 31.98 0.44 0.44 2.84
2300A1 24.21 12.21 12.21 21.79
2300A2 27.41 0.76 0.76 10.58
2300A3 32.71 0.44 0.44 5.96
2300A5 0.03 0.28 0.28 0.03
2300A4 3.23 0.85 0.85 20.63
2300A6 18.04 1.39 1.39 0.88
2300A7 26.75 0.95 0.95 1.35
2300A9 16.91 0.15 0.15 4.35
2300AA 7.43 1.84 1.84 10.92
2300AB 152.47 2.25 2.25 2.22
2300AE 11.48 6.46 6.46 30.26
2300AF 10.57 0.37 0.37 7.86
2300AG 15.29 1.65 1.65 12.92
2300AH 15.07 1.39 1.39 2.45
2300AK 17.41 0.39 0.39 1.53
2300AO 5.49 1.29 1.29 1.51
2300AQ 3.55 3.49 3.49 9.05
2300AT 69.34 2.63 2.63 7.38
