#compound QM Initial Optimized Reoptimized Retrained
230001 4.21 1.74 4.06 4.06 3.69 
230005 0.31 1.2 0.38 0.38 0.29 
230006 5.83 6.26 5.71 5.71 4.92 
230007 13.63 5.56 13.52 13.52 16.15 
230008 8.53 4.95 7.52 7.52 6.61 
230009 4.12 3.5 4.12 4.12 3.42 
23000A 2.09 0.6 2.1 2.1 2.24 
23000C 3.57 7.21 3.35 3.35 2.9 
23000D 9.24 2.61 9.23 9.23 9.08 
23000E 4.89 3.5 4.8 4.8 3.72 
23000F 3.31 0.82 3.32 3.32 3.81 
23000G 1.15 3.34 1.02 1.02 0.33 
23000J 2.83 3.71 2.46 2.46 2.58 
23000I 1.72 4.56 1.63 1.63 2.74 
23000K 3.68 9.57 3.73 3.73 2.87 
23000L 2.73 2.06 2.48 2.48 3.0 
23000M 3.94 2.59 3.71 3.76 3.64 
23000O 2.4 1.33 2.39 2.41 2.53 
23000Q 5.05 3.54 4.29 4.29 4.31 
23000S 3.23 2.97 3.25 3.25 4.24 
23000T 1.83 2.94 1.83 1.83 1.84 
23000U 4.07 3.46 3.47 3.47 3.35 
23000V 7.66 6.57 7.59 7.59 5.78 
23000W 7.4 5.86 6.33 6.33 5.98 
23000X 11.08 5.8 9.76 9.76 8.82 
23000Y 6.69 2.59 6.62 6.62 5.88 
23000Z 9.47 8.02 7.89 7.89 7.53 
230011 2.91 2.22 2.72 2.72 2.47 
230014 6.3 4.2 5.88 5.88 5.79 
230016 2.93 1.94 2.44 2.44 2.37 
230017 10.4 1.84 8.96 8.96 8.83 
230018 2.52 4.37 2.5 2.5 2.7 
23001E 1.69 3.09 1.63 1.63 1.19 
23001F 9.69 2.97 9.13 9.13 9.45 
23001G 12.1 7.35 10.77 11.08 11.01 
23001H 10.02 9.78 9.73 9.73 9.77 
23001I 3.71 2.95 2.96 2.96 2.83 
23001J 2.29 2.09 2.26 2.26 4.39 
23001K 0.63 2.02 0.61 0.61 0.46 
23001L 2.15 1.73 2.16 2.16 1.96 
23001N 7.55 1.93 7.51 7.51 7.64 
23001O 4.3 3.44 3.57 3.57 4.44 
23001P 2.15 3.11 2.09 2.09 2.1 
23001Q 4.88 3.52 4.23 4.23 4.18 
23001S 2.97 6.59 2.72 2.72 2.84 
23001T 0.68 2.0 0.68 0.69 2.24 
23001U 1.5 1.52 1.51 1.56 0.8 
