#compound QM_x QM_y QM_z Initial_x Initial_y Initial_z Optimized_x Optimized_y Optimized_z Reoptimized_x Reoptimized_y Reoptimized_z Retrained_x Retrained_y Retrained_z
230001 -0.66 4.032 1.026 0.012 1.414 1.019 -0.625 3.904 0.934 -0.625 3.904 0.934 -1.056 3.414 0.922
230005 0.0 0.0 -0.306 0.0 -0.0 1.205 -0.055 0.013 -0.371 -0.055 0.013 -0.371 0.0 0.0 -0.288
230006 4.885 3.149 0.423 2.71 5.605 0.614 4.77 3.116 0.314 4.77 3.116 0.314 4.426 2.135 0.196
230007 -13.616 0.628 0.018 -5.557 0.205 0.01 -13.501 0.641 -0.003 -13.501 0.641 -0.003 -16.129 0.891 -0.01
230008 -7.357 -3.728 2.177 -4.224 -1.674 1.97 -6.526 -3.21 1.93 -6.526 -3.21 1.93 -5.95 -2.367 1.645
230009 -3.364 2.114 -1.086 -3.41 -0.207 -0.777 -3.362 2.126 -1.073 -3.362 2.126 -1.073 -2.695 1.799 -1.088
23000A -2.009 -0.319 0.481 -0.261 0.488 -0.239 -2.02 -0.328 0.473 -2.02 -0.328 0.473 -2.19 -0.155 0.459
23000C -2.332 -0.448 2.669 -6.587 0.126 2.918 -2.315 -0.413 2.392 -2.315 -0.413 2.392 -1.642 -0.431 2.356
23000D -8.096 2.109 3.919 1.34 -0.61 2.152 -8.093 2.113 3.903 -8.093 2.113 3.903 -7.982 2.117 3.778
23000E 3.388 -3.437 -0.768 0.521 -3.407 -0.594 3.326 -3.415 -0.535 3.326 -3.415 -0.535 2.235 -2.94 -0.445
23000F 2.252 -2.328 0.678 -0.509 -0.358 0.53 2.261 -2.339 0.679 2.261 -2.339 0.679 -0.145 -3.739 0.739
23000G 0.0 0.0 -1.154 -0.0 -0.0 3.338 0.001 0.0 -1.024 0.001 0.0 -1.024 -0.0 0.0 -0.328
23000J 0.337 -1.051 2.601 2.229 -0.987 2.804 0.412 -0.804 2.289 0.412 -0.804 2.289 1.035 -0.338 2.344
23000I -0.977 1.086 -0.914 -3.247 3.002 1.105 -1.221 0.927 -0.553 -1.221 0.927 -0.553 -2.631 0.662 -0.369
23000K 2.499 -2.554 0.879 -7.099 -6.377 0.726 2.522 -2.596 0.881 2.522 -2.596 0.881 1.503 -2.324 0.755
23000L -1.634 1.433 -1.652 0.649 0.186 -1.944 -1.471 1.221 -1.575 -1.471 1.221 -1.575 -2.262 1.205 -1.569
