#compound ProbedAtom Water_Orientation_in_deg QM Initial Optimized Reoptimized Retrained
230001 N1 0.0 2.03 1.9 2.0 2.0 2.0
230001 N1 90.0 2.03 1.89 1.98 1.98 1.98
230001 N1 180.0 2.0 1.88 1.95 1.95 1.95
230001 N1 270.0 2.03 1.89 1.99 1.99 1.98
230001 N9 0.0 2.68 2.74 2.74 2.74 2.73
230001 N9 90.0 2.42 2.7 2.71 2.71 2.7
230001 N9 180.0 2.45 2.76 2.76 2.76 2.76
230001 N9 270.0 2.64 2.77 2.77 2.77 2.77
230001 H21 0.0 2.78 3.19 3.12 3.12 3.12
230001 H21 45.0 2.76 3.19 3.12 3.12 3.12
230001 H21 90.0 2.78 3.18 3.11 3.11 3.11
230001 H21 135.0 2.79 3.18 3.11 3.11 3.12
230001 H22 0.0 2.04 2.23 2.11 2.11 2.12
230001 H22 45.0 2.09 2.23 2.11 2.11 2.12
230001 H22 90.0 2.12 2.26 2.13 2.13 2.14
230001 H22 135.0 2.07 2.26 2.13 2.13 2.14
230001 H23 0.0 2.57 2.65 2.67 2.67 2.66
230001 H23 90.0 2.59 2.68 2.66 2.66 2.65
230001 H24 0.0 2.67 2.68 2.71 2.71 2.69
230001 H24 90.0 2.6 2.67 2.7 2.7 2.68
230001 H25 0.0 2.63 2.68 2.71 2.71 2.69
230001 H25 90.0 2.57 2.67 2.7 2.7 2.68
230001 H27 0.0 2.7 2.67 2.69 2.69 2.7
230001 H28 0.0 2.71 2.6 2.62 2.62 2.62
230001 H29 0.0 2.74 2.71 2.69 2.69 2.7
230001 H30 0.0 2.74 2.68 2.68 2.68 2.69
230001 H31 0.0 2.71 2.69 2.71 2.71 2.7
230001 H31 90.0 2.6 2.68 2.69 2.69 2.68
230001 H32 0.0 2.66 2.7 2.72 2.72 2.71
230001 H32 90.0 2.6 2.69 2.71 2.71 2.7
230001 H33 0.0 2.68 2.71 2.73 2.73 2.72
230001 H33 90.0 2.62 2.7 2.72 2.72 2.71
230002 H8 0.0 1.88 1.72 1.84 1.84 1.78
230002 H8 45.0 1.85 1.71 1.83 1.83 1.77
230002 H8 90.0 1.84 1.71 1.82 1.82 1.77
230002 H8 135.0 1.86 1.72 1.83 1.83 1.78
230002 H17 0.0 2.54 2.68 2.61 2.61 2.62
230002 H18 0.0 2.39 2.57 2.55 2.55 2.54
230002 H19 0.0 2.35 2.59 2.58 2.58 2.57
230002 H20 0.0 2.32 2.48 2.51 2.51 2.5
230002 H21 0.0 2.37 2.47 2.51 2.51 2.49
230002 H22 0.0 2.41 2.54 2.57 2.57 2.56
230002 H23 0.0 2.37 2.53 2.54 2.54 2.56
230002 H23 90.0 2.25 2.49 2.52 2.52 2.53
230002 H24 0.0 2.29 2.6 2.57 2.57 2.61
230002 H24 90.0 2.25 2.59 2.57 2.57 2.6
230002 H25 0.0 2.33 2.61 2.57 2.57 2.61
230002 H25 90.0 2.29 2.61 2.57 2.57 2.6
230002 H26 0.0 2.37 2.55 2.51 2.51 2.54
230002 H26 90.0 2.25 2.52 2.47 2.47 2.5
230002 H27 0.0 2.23 2.68 2.59 2.59 2.6
230002 H27 45.0 2.28 2.68 2.59 2.59 2.6
230002 H27 90.0 2.18 2.66 2.56 2.56 2.58
230002 H27 135.0 2.14 2.66 2.56 2.56 2.57
230003 N1 0.0 2.81 2.92 2.84 2.84 2.89
230003 N1 90.0 3.06 3.11 2.89 2.89 2.97
230003 N1 270.0 2.95 2.73 2.76 2.76 2.82
230003 H4 0.0 1.86 1.87 1.82 1.82 1.81
230003 H4 45.0 1.82 1.86 1.81 1.81 1.8
230003 H4 90.0 1.81 1.85 1.81 1.81 1.79
230003 H4 135.0 1.84 1.87 1.82 1.82 1.81
230003 H6 0.0 2.98 3.22 3.19 3.19 3.18
230003 H6 90.0 2.95 3.22 3.19 3.19 3.18
230003 N19 90.0 2.19 2.05 2.08 2.08 2.1
230003 N19 180.0 2.24 2.01 2.08 2.08 2.1
230003 N19 270.0 2.2 2.05 2.08 2.08 2.1
230003 N20 0.0 3.11 3.03 3.24 3.24 3.2
230003 N20 45.0 3.15 3.04 3.26 3.26 3.21
230003 N20 90.0 3.14 3.04 3.26 3.26 3.21
230003 N20 135.0 3.1 3.03 3.25 3.25 3.2
230003 H21 0.0 1.85 1.78 1.79 1.79 1.78
