#compound Initial Optimized Reoptimized Retrained
230001 3.652 1.795 1.795 2.017
230002 11.403 1.597 1.597 4.69
230003 10.033 1.646 1.646 4.193
230004 7.238 1.252 1.252 2.995
230005 2.386 0.999 0.999 1.166
230006 6.37 2.861 2.861 2.935
230007 9.044 5.713 5.713 8.46
230008 3.487 2.53 2.53 2.055
230009 4.369 2.83 2.83 2.378
23000A 2.963 1.797 1.797 1.89
23000B 3.626 1.502 1.502 1.596
23000C 7.38 1.46 1.46 1.51
23000D 14.826 3.828 3.828 3.662
23000E 4.683 2.098 2.098 2.208
23000F 4.834 2.439 2.439 4.941
23000G 7.353 2.549 2.549 3.642
23000H 7.252 1.407 1.407 4.448
23000J 4.16 1.788 1.788 2.308
23000I 6.68 1.989 1.989 3.201
23000K 17.168 3.338 3.338 2.79
23000L 4.036 2.217 2.217 2.845
23000M 3.629 2.306 1.782 1.676
23000N 9.009 3.187 3.187 3.18
23000O 3.724 1.532 2.677 2.751
23000P 5.902 1.714 1.714 2.931
23000Q 1.831 1.56 1.56 1.611
23000R 4.857 1.536 1.536 2.908
23000S 3.262 2.625 2.625 4.315
23000T 4.922 1.729 1.729 1.738
23000U 1.807 1.218 1.218 1.145
23000V 4.291 3.232 3.232 2.326
23000W 3.222 2.122 2.122 3.015
23000X 6.891 3.14 3.14 2.304
23000Y 7.611 2.875 2.875 2.22
23000Z 5.82 1.892 1.892 1.712
230010 18.847 2.689 2.894 3.977
230011 3.986 1.449 1.449 1.898
230012 5.364 3.666 2.561 3.33
230013 5.212 1.464 1.464 1.947
230014 4.118 2.736 2.736 2.731
230015 8.221 1.77 1.77 3.884
230016 1.612 1.44 1.44 1.419
230017 17.009 2.29 2.29 2.4
230018 6.945 2.055 2.055 3.693
230019 12.475 2.189 2.189 3.85
23001A 9.978 1.382 1.382 1.787
23001B 15.695 2.282 2.282 2.264
23001C 16.508 4.781 6.957 7.167
23001E 4.824 1.89 1.89 1.785
23001D 12.11 1.928 1.928 3.817
23001F 12.732 2.693 2.693 3.126
23001G 4.566 2.976 3.553 3.481
23001H 4.987 4.132 4.132 4.201
23001I 2.436 1.351 1.351 1.31
23001J 3.125 2.596 2.596 5.197
23001K 4.031 1.237 1.237 1.22
23001L 4.309 1.76 1.76 1.655
23001M 9.085 2.025 2.025 6.83
23001N 8.269 3.259 3.259 3.17
23001O 2.829 2.282 2.282 3.317
23001P 4.303 2.164 2.164 2.154
23001Q 6.531 1.871 1.871 1.981
230000 3.197 1.537 1.537 1.623
23001R 11.609 1.398 1.398 7.41
23001S 9.82 1.835 1.835 2.013
23001T 7.066 1.799 1.441 3.856
23001U 4.42 1.987 1.624 2.154
23001V 13.938 2.486 2.486 7.01
23001X 4.588 2.39 2.264 3.471
23001Y 10.108 2.35 2.35 1.595
23001Z 17.201 2.317 2.317 2.395
230020 11.804 0.833 0.833 2.502
230021 11.812 1.916 1.916 2.035
230022 18.59 1.438 1.438 1.428
230023 6.94 3.172 3.172 3.129
230024 4.342 1.845 1.767 2.176
230025 8.233 1.675 1.675 2.494
230026 15.366 6.147 6.147 7.356
230027 3.047 1.195 1.195 1.264
230028 4.997 1.539 1.539 1.837
23002A 6.817 1.925 2.111 3.301
230029 4.805 3.238 2.471 4.346
23002B 6.798 1.527 1.527 1.807
23002C 2.045 2.158 2.158 2.017
23002E 1.267 1.189 1.189 1.725
23002D 2.923 0.966 0.966 1.185
23002F 3.432 2.731 2.731 3.084
23002G 6.017 2.928 2.928 2.881
23002H 3.633 3.106 3.106 4.009
23002I 7.902 1.384 1.384 2.948
23002J 12.114 1.231 1.231 1.453
23002K 5.445 2.059 2.059 2.09
23002L 8.589 2.141 2.141 2.926
23002M 16.971 1.755 1.755 2.522
23002N 5.15 2.412 2.412 2.391
23002O 2.983 2.095 2.095 3.606
23002P 1.811 1.469 1.469 1.516
23002Q 9.687 2.063 2.063 2.85
23002R 20.128 2.916 2.916 2.933
23002S 16.475 3.831 3.229 3.294
23002T 11.307 2.351 2.351 2.115
23002U 6.365 2.731 2.731 3.78
23002V 1.89 1.349 1.349 1.476
23002W 4.218 2.37 2.37 2.42
23002X 1.909 1.848 1.848 2.277
23002Y 8.91 1.987 1.987 3.265
23002Z 2.568 1.81 1.81 2.22
230030 16.763 2.082 2.082 1.876
230031 5.975 1.748 1.748 1.699
230032 3.233 2.726 2.726 2.712
230033 12.646 2.158 2.158 4.959
230034 1.788 1.508 1.508 1.58
230035 8.703 2.474 2.474 2.742
230036 4.171 1.782 1.782 2.769
230037 10.414 2.225 2.225 2.966
230038 2.454 1.978 1.978 1.979
230039 6.243 2.801 2.801 2.956
23003A 5.21 3.066 3.066 4.745
23003B 19.503 2.91 2.91 2.91
23003C 5.864 2.555 2.555 5.832
23003D 8.765 2.263 2.263 3.461
23003E 6.128 2.028 2.028 2.062
23003F 12.279 1.755 1.755 3.022
23003G 5.292 2.373 2.373 2.555
23003I 7.135 3.752 1.8 1.732
