230001 1.38	230001 0.32	230001 0.32	230001 0.35
230002 4.31	230002 0.97	230002 0.97	230002 1.97
230003 3.56	230003 0.63	230003 0.63	230003 1.22
230004 1.32	230004 0.6	230004 0.6	230004 0.73
230005 0.68	230005 0.27	230005 0.27	230005 0.27
230006 0.81	230006 0.43	230006 0.43	230006 0.36
230007 2.5	230007 0.42	230007 0.42	230007 0.69
230008 0.71	230008 0.39	230008 0.39	230008 0.43
230009 1.88	230009 0.71	230009 0.71	230009 1.17
23000A 0.94	23000A 0.38	23000A 0.38	23000A 0.38
23000B 0.88	23000B 0.31	23000B 0.31	23000B 0.31
23000C 1.15	23000C 0.4	23000C 0.4	23000C 0.42
23000D 3.68	23000D 0.69	23000D 0.69	23000D 0.66
23000E 1.39	23000E 0.5	23000E 0.5	23000E 0.65
23000F 0.97	23000F 0.55	23000F 0.55	23000F 0.58
23000G 1.9	23000G 0.47	23000G 0.47	23000G 0.69
23000H 1.58	23000H 0.34	23000H 0.34	23000H 1.13
23000J 0.8	23000J 0.43	23000J 0.43	23000J 0.51
23000I 1.39	23000I 0.6	23000I 0.6	23000I 0.69
23000K 2.72	23000K 0.56	23000K 0.56	23000K 0.56
23000L 0.75	23000L 0.53	23000L 0.53	23000L 0.55
23000M 1.05	23000M 0.54	23000M 0.43	23000M 0.43
23000N 2.52	23000N 0.23	23000N 0.23	23000N 0.33
23000O 1.64	23000O 0.29	23000O 0.35	23000O 0.35
23000P 1.67	23000P 0.45	23000P 0.45	23000P 0.76
23000Q 0.55	23000Q 0.28	23000Q 0.28	23000Q 0.3
23000R 0.89	23000R 0.51	23000R 0.51	23000R 0.74
23000S 0.73	23000S 0.34	23000S 0.34	23000S 0.45
23000T 0.8	23000T 0.19	23000T 0.19	23000T 0.19
23000U 0.77	23000U 0.5	23000U 0.5	23000U 0.47
23000V 1.0	23000V 0.41	23000V 0.41	23000V 0.54
23000W 1.22	23000W 0.58	23000W 0.58	23000W 0.73
23000X 1.55	23000X 0.31	23000X 0.31	23000X 0.42
23000Y 2.28	23000Y 0.41	23000Y 0.41	23000Y 0.67
23000Z 1.05	23000Z 0.35	23000Z 0.35	23000Z 0.39
230010 4.04	230010 0.25	230010 0.3	230010 0.43
230011 1.29	230011 0.4	230011 0.4	230011 0.41
230012 1.18	230012 0.62	230012 0.54	230012 0.71
230013 1.32	230013 0.29	230013 0.29	230013 0.43
230014 1.0	230014 1.06	230014 1.06	230014 1.04
230015 1.45	230015 0.78	230015 0.78	230015 0.99
230016 0.3	230016 0.29	230016 0.29	230016 0.3
230017 3.94	230017 0.54	230017 0.54	230017 0.61
230018 0.93	230018 0.25	230018 0.25	230018 0.62
230019 2.29	230019 0.78	230019 0.78	230019 1.04
23001A 2.68	23001A 0.35	23001A 0.35	23001A 0.37
23001B 6.27	23001B 0.69	23001B 0.69	23001B 0.82
23001C 4.76	23001C 1.12	23001C 0.63	23001C 0.61
23001E 0.98	23001E 0.56	23001E 0.56	23001E 0.59
23001D 1.61	23001D 0.43	23001D 0.43	23001D 0.73
23001F 2.51	23001F 0.48	23001F 0.48	23001F 0.51
23001G 1.62	23001G 0.91	23001G 0.84	23001G 0.83
23001H 1.17	23001H 0.59	23001H 0.59	23001H 0.58
23001I 0.78	23001I 0.41	23001I 0.41	23001I 0.37
23001J 0.57	23001J 0.36	23001J 0.36	23001J 0.8
23001K 1.18	23001K 0.41	23001K 0.41	23001K 0.43
23001L 1.25	23001L 0.59	23001L 0.59	23001L 0.55
23001M 2.09	23001M 0.85	23001M 0.85	23001M 1.64
23001N 2.2	23001N 0.64	23001N 0.64	23001N 0.64
23001O 0.75	23001O 0.46	23001O 0.46	23001O 0.49
23001P 1.13	23001P 0.36	23001P 0.36	23001P 0.38
23001Q 0.97	23001Q 0.35	23001Q 0.35	23001Q 0.35
230000 0.6	230000 0.44	230000 0.44	230000 0.44
23001R 2.56	23001R 0.43	23001R 0.43	23001R 1.1
23001S 1.34	23001S 0.27	23001S 0.27	23001S 0.26
23001T 1.75	23001T 0.29	23001T 0.28	23001T 0.63
23001U 0.93	23001U 0.4	23001U 0.25	23001U 0.42
23001V 1.94	23001V 0.86	23001V 0.86	23001V 1.35
23001X 1.01	23001X 0.52	23001X 0.41	23001X 0.75
23001Y 1.53	23001Y 0.64	23001Y 0.64	23001Y 0.6
23001Z 3.37	23001Z 0.52	23001Z 0.52	23001Z 0.54
230020 2.63	230020 0.61	230020 0.61	230020 0.94
230021 3.83	230021 0.3	230021 0.3	230021 0.36
230022 3.47	230022 0.22	230022 0.22	230022 0.21
230023 0.97	230023 0.26	230023 0.26	230023 0.26
230024 2.29	230024 0.32	230024 0.33	230024 0.46
230025 1.07	230025 0.24	230025 0.24	230025 0.32
230026 2.37	230026 0.8	230026 0.8	230026 1.34
230027 0.71	230027 0.33	230027 0.33	230027 0.37
230028 1.0	230028 0.24	230028 0.24	230028 0.36
23002A 1.0	23002A 0.36	23002A 0.34	23002A 0.75
230029 0.97	230029 0.66	230029 0.48	230029 0.62
23002B 1.82	23002B 0.42	23002B 0.42	23002B 0.65
23002C 0.43	23002C 0.34	23002C 0.34	23002C 0.4
23002E 0.78	23002E 0.39	23002E 0.39	23002E 0.33
23002D 0.75	23002D 0.36	23002D 0.36	23002D 0.38
23002F 0.89	23002F 0.65	23002F 0.65	23002F 0.52
23002G 2.08	23002G 0.45	23002G 0.45	23002G 0.45
23002H 0.67	23002H 0.66	23002H 0.66	23002H 0.53
23002I 0.84	23002I 0.32	23002I 0.32	23002I 0.95
23002J 2.37	23002J 0.28	23002J 0.28	23002J 0.25
23002K 1.04	23002K 0.63	23002K 0.63	23002K 0.61
23002L 1.14	23002L 0.33	23002L 0.33	23002L 0.47
23002M 3.82	23002M 0.23	23002M 0.23	23002M 0.37
